Año,Trimestre,Provincia,Accesos por cada 100 hab,Accesos por cada 100 hogares,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Banda ancha fija,Dial up,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Mbps (Media de bajada),Total
2023,3,Salta,13.94,57.57,115.0,1190.0,29305.0,67060.0,4059.0,78.0,97627.0,6799.0,206228,5.0,29113.0,98324.0,59914.0,12337.0,6545.0,80.8,206233.0
2023,3,San Juan,12.85,50.45,24.0,2021.0,21090.0,12882.0,12564.0,1440.0,31081.0,22628.0,103483,247.0,12669.0,19376.0,42383.0,22317.0,6985.0,24.45,103730.0
2023,3,San Luis,28.2,98.55,60.0,628.0,11398.0,23818.0,10926.0,74914.0,18688.0,8484.0,148751,165.0,4037.0,41624.0,24525.0,78431.0,299.0,104.97,148916.0
2023,3,Santa Cruz,12.17,40.89,50.0,6722.0,10612.0,10853.0,9565.0,3643.0,6542.0,0.0,47800,187.0,8376.0,23931.0,11270.0,3660.0,750.0,15.67,47987.0
2023,3,Santa Fe,24.87,79.09,468.0,7174.0,85897.0,168711.0,65489.0,20333.0,534474.0,17806.0,900246,106.0,108503.0,397854.0,336013.0,44545.0,13437.0,97.39,900352.0
2023,3,Santiago Del Estero,12.08,48.67,180.0,1199.0,15100.0,54503.0,28456.0,806.0,20734.0,950.0,121926,2.0,9412.0,80919.0,21745.0,6916.0,2936.0,41.46,121928.0
2023,3,Tierra Del Fuego,31.41,105.95,22.0,834.0,10550.0,12731.0,20384.0,5150.0,4040.0,5020.0,58426,305.0,9357.0,45203.0,3682.0,157.0,332.0,17.17,58731.0
2023,3,Tucumán,15.17,61.26,39.0,1236.0,20378.0,25026.0,25523.0,1633.0,192051.0,671.0,266530,27.0,46348.0,20545.0,195053.0,4088.0,523.0,98.85,266557.0
2023,2,Buenos Aires,27.1,79.67,28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0,97420.0,4879442,6046.0,265537.0,2766463.0,1645945.0,138405.0,69138.0,138.35,4885488.0
2023,2,Capital Federal,47.27,115.48,516.0,4422.0,27827.0,54111.0,34364.0,6189.0,1330249.0,0.0,1455578,2100.0,68348.0,1218631.0,136295.0,4504.0,29900.0,208.01,1457678.0
2023,2,Catamarca,17.15,67.42,71.0,226.0,3329.0,4076.0,4788.0,2285.0,58048.0,167.0,72989,1.0,7637.0,10700.0,53177.0,1384.0,92.0,86.13,72990.0
2023,2,Chaco,11.46,42.87,236.0,475.0,14630.0,14176.0,7446.0,3008.0,97897.0,3987.0,141850,5.0,19115.0,59944.0,51955.0,8267.0,2574.0,105.45,141855.0
2023,2,Chubut,25.28,82.49,109.0,1467.0,45798.0,31021.0,24750.0,17708.0,28859.0,14249.0,163078,883.0,33702.0,73689.0,16111.0,30521.0,9938.0,18.58,163961.0
2023,2,Córdoba,27.59,90.13,99.0,8627.0,126496.0,99026.0,52240.0,25144.0,712647.0,43472.0,1067686,65.0,129303.0,453924.0,411703.0,62391.0,10430.0,111.82,1067751.0
2023,2,Corrientes,13.79,52.37,67.0,2945.0,21781.0,22144.0,5937.0,4593.0,93048.0,7779.0,158290,4.0,26821.0,82977.0,32834.0,10407.0,5255.0,97.21,158294.0
2023,2,Entre Ríos,19.26,64.43,107.0,4377.0,39693.0,49240.0,20231.0,22661.0,137638.0,0.0,273927,20.0,46503.0,142562.0,49251.0,24461.0,11170.0,89.37,273947.0
2023,2,Formosa,9.75,38.32,84.0,186.0,21944.0,11825.0,5202.0,300.0,20428.0,381.0,60350,0.0,11934.0,17678.0,13698.0,16813.0,227.0,77.32,60350.0
2023,2,Jujuy,14.78,57.78,58.0,1440.0,16174.0,12344.0,29181.0,300.0,55867.0,2078.0,117442,0.0,13749.0,51082.0,47289.0,4067.0,1255.0,43.56,117442.0
2023,2,La Pampa,32.4,98.35,68.0,1365.0,48635.0,18475.0,14999.0,4266.0,29134.0,1968.0,118744,166.0,7254.0,59101.0,31449.0,19993.0,1113.0,22.78,118910.0
2023,2,La Rioja,21.3,80.01,18.0,454.0,1719.0,2236.0,24737.0,4888.0,52920.0,0.0,86968,4.0,4152.0,55148.0,21245.0,6395.0,32.0,63.55,86972.0
2023,2,Mendoza,14.54,52.09,103.0,2945.0,36286.0,20985.0,33217.0,12649.0,176628.0,14863.0,296921,755.0,25299.0,71931.0,171857.0,27609.0,980.0,42.69,297676.0
2023,2,Misiones,15.03,55.18,51.0,3247.0,34144.0,22649.0,12055.0,3862.0,110815.0,8648.0,195471,0.0,28897.0,82058.0,64406.0,12927.0,7183.0,90.55,195471.0
2023,2,Neuquén,23.5,78.97,168.0,984.0,38006.0,13946.0,13275.0,6649.0,85749.0,2969.0,161289,457.0,26379.0,73040.0,35171.0,24046.0,3110.0,93.97,161746.0
2023,2,Río Negro,21.09,68.56,111.0,1070.0,29535.0,15050.0,20561.0,22752.0,58834.0,15466.0,162848,531.0,26390.0,49684.0,53325.0,16864.0,17116.0,70.76,163379.0
2023,2,Salta,13.92,57.48,114.0,1042.0,29687.0,67966.0,4523.0,94.0,95063.0,6839.0,205323,5.0,30666.0,97501.0,58275.0,12337.0,6549.0,79.1,205328.0
2023,2,San Juan,12.1,47.52,24.0,2020.0,21766.0,12810.0,13276.0,10042.0,21369.0,16142.0,97189,260.0,21483.0,20200.0,25217.0,23545.0,7004.0,20.39,97449.0
2023,2,San Luis,26.73,93.41,60.0,624.0,11543.0,23932.0,12756.0,74914.0,15090.0,1829.0,140575,173.0,4937.0,41949.0,15595.0,77960.0,307.0,103.84,140748.0
2023,2,Santa Cruz,12.39,41.66,49.0,6720.0,10609.0,11253.0,9733.0,3667.0,6315.0,256.0,48410,192.0,9019.0,23896.0,11269.0,3660.0,758.0,15.48,48602.0
2023,2,Santa Fe,24.79,78.83,468.0,7021.0,89275.0,172672.0,71957.0,24123.0,499408.0,30890.0,895706,108.0,126344.0,399669.0,311166.0,44134.0,14501.0,94.87,895814.0
2023,2,Santiago Del Estero,11.7,47.14,178.0,1152.0,16847.0,55281.0,26520.0,766.0,16066.0,999.0,117807,2.0,10629.0,80086.0,17244.0,6916.0,2934.0,37.62,117809.0
2023,2,Tierra Del Fuego,31.54,106.38,22.0,831.0,10556.0,12748.0,20962.0,4707.0,3901.0,4908.0,58325,310.0,12392.0,45224.0,525.0,157.0,337.0,16.92,58635.0
2023,2,Tucumán,15.05,60.75,39.0,1091.0,21163.0,27206.0,25910.0,1661.0,185887.0,645.0,263573,29.0,50019.0,20012.0,188986.0,4060.0,525.0,96.69,263602.0
2023,1,Buenos Aires,26.81,79.0,28615.0,25137.0,249864.0,264388.0,241923.0,104495.0,3810940.0,95566.0,4814729,6199.0,304583.0,2761043.0,1551074.0,132458.0,71770.0,116.18,4820928.0
2023,1,Capital Federal,50.23,122.59,516.0,4500.0,28668.0,60061.0,34974.0,7859.0,1305284.0,106867.0,1546584,2145.0,132149.0,1223930.0,156222.0,4605.0,31823.0,188.65,1548729.0
2023,1,Catamarca,16.83,66.17,71.0,221.0,2192.0,4352.0,3794.0,2607.0,55944.0,2311.0,71491,1.0,6980.0,10655.0,50230.0,1384.0,2243.0,87.41,71492.0
